value,smiles
1.0,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
1.0,CN(C)CCOC(c1ccccc1)c1ccccc1
1.0,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N2CCOCC2C#N)C(O)C(C)O1
1.0,CCC(C=CC1OC(=O)C=CC1C)=CC(C)CC=CC(C)=CC(CO)C(=O)C(C)C(O)C(C)CC(C)=CC(=O)O
1.0,CCC1(O)CC(OC2CC(N(C)C)C(OC3CC4OC5CC(=O)C(C)OC5OC4C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)ccc(O)c2C3=O)C1C(=O)OC
1.0,CC1=CCC(C(C)=Cc2csc(C)n2)OC(=O)CC(O)C(C)(C)C(=O)C(C)C(O)C(C)CCC1
1.0,C=C1CC2CCC34CC5OC6C(OC7CCC(CC(=O)OC8C(CC9OC(CCC1O2)CC(C)C9=C)OC1CC2OC9(CC2OC1C8C)CC1OC2(CC(C)C8OC%10CC(C=O)OC%10CC8O2)CC(C)C1O9)OC7C6O3)C5O4
1.0,C=C1CC(CCC23CC4OC5C(OC6CCC(CC(=O)OC)OC6C5O2)C4O3)OC1CCC1CC(C)C(=C)C(CC2OC3CC4OC5(CC4OC3C(C)C2O)CC2OC3(CC(C)C4OC6CC(C(O)CO)OC6CC4O3)CC(C)C2O5)O1
1.0,C=C1CC2CCC34CC5OC6C(OC7CCC(CC(=O)OC8C(CC9OC(CCC1O2)CC(C)C9=C)OC1CC2OC9(CC2OC1C8C)CC1OC2(CC(C)C8OC%10CC(CO)OC%10CC8O2)CC(C)C1O9)OC7C6O3)C5O4
1.0,CC(=Cc1csc(C)n1)C1CC2OC2(C)CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)O1
1.0,CC(=Cc1csc(C)n1)C1CC2OC2CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)O1
1.0,CC(=O)NC1C(OCc2ccccc2)OC(CO)C(O)C1OCC(=O)NC(C)C(=O)NC(CCC(=O)NCCCCCNc1c2ccccc2nc2cccc([N+](=O)[O-])c12)C(N)=O
1.0,COc1cc2cc(C(=O)N3CC(COS(C)(=O)=O)c4ccc(O)cc43)[nH]c2c(OC)c1OC
1.0,Nc1nc(Cl)c(N=Nc2ccc(Cl)cc2)c(NCC2(CO)CCC2)n1
1.0,Nc1nc(Cl)cc(OCC2(O)CC(COC(=O)c3ccccc3)C2)n1
1.0,COc1cc2c(cc1OC)-c1cc(OC)c(OC)cc1C1CN3CCCC3(O)C=C21
1.0,COc1ccc(C2=CC3(O)CCCN3CC2c2ccc(OC)c(OC)c2)cc1
1.0,Cc1cc2c(c3oc(C(O)(CO)C4CO4)cc(=O)c13)C(=O)c1c(O)cccc1C2=O
1.0,COc1cc2c(cc1O)CCNC21CSC2c3c(OC(C)=O)c(C)c4c(c3C(COC1=O)N1C(O)C3Cc5cc(C)c(OC)c(O)c5C(C21)N3C)OCO4
1.0,CC(C)SC1SCC2C(=O)N(C)C3(CC3C)C(=O)OCC(NC(=O)c3nc4ccccc4cc3O)C(=O)NC(C)C(=O)N(C)C1C(=O)N(C)C1(CC1C)C(=O)OCC(NC(=O)c1nc3ccccc3cc1O)C(=O)NC(C)C(=O)N2C
1.0,CSC1SCC2C(=O)N(C)C3(CC3C)C(=O)OCC(NC(=O)c3nc4ccccc4cc3O)C(=O)NC(C)C(=O)N(C)C1C(=O)N(C)C1(CC1C)C(=O)OCC(NC(=O)c1nc3ccccc3cc1O)C(=O)NC(C)C(=O)N2C
1.0,CCC1(O)CC(OC2CC(N(C)C)C(OC3CC(O)C(OC4CCC(=O)C(C)O4)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)ccc(O)c2C3=O)C1C(=O)OC
1.0,N#Cc1c(Sc2ccccc2N)cccc1Sc1ccccc1N
1.0,CC1(C#N)N(C(=O)c2ccccc2)c2ccccc2N1C(=O)c1ccccc1
1.0,CC=C1NC(=O)C2CSSCCC=CC(CC(=O)NC(C(C)C)C(=O)N2)OC(=O)C(C(C)C)NC1=O
1.0,C[N+](C)(C)C(CSSCC(C(=O)[O-])[N+](C)(C)C)C(=O)[O-]
1.0,O=C(O)c1ccc2c(c1)C(=O)O[Pt]1(NC3CCCCC3N1)OC2=O
1.0,O=C(CP(=O)(O)O)NC1CC(=O)O[Pt]2(NC3CCCCC3N2)OC1=O
1.0,O=C1C2C(C(=O)N1c1ccc(OCc3ccccc3)cc1)C1c3ccccc3C2C2CCCCN21
1.0,CC1(C)CC(=[N+]2NC(N)=[SH][Ni]23[SH]=C(N)N[N+]3=C2CC(C)(C)NC(C)(C)C2)CC(C)(C)N1
1.0,CC1=[N+](O)[Rh]2(Cl)([PH](c3ccccc3)(c3ccccc3)c3ccccc3)([N+](O)=C1C)[N+](O)=C(C)C(C)=[N+]2O
1.0,O=C(O)C1CCN([Pt](Cl)(Cl)(Cl)(Cl)N2CCC(C(=O)O)CC2)CC1
1.0,N#Cc1ccc(CSc2ncnc3[nH]cnc23)cc1
1.0,N#Cc1cccc(CSc2ncnc3[nH]cnc23)c1
1.0,N#Cc1ccccc1CSc1ncnc2[nH]cnc12
1.0,CCOP(=O)(CC=CCn1cnc(C(N)=O)c1N)OCC
1.0,CC(=O)OCC=CCn1cnc(C(N)=O)c1N
1.0,CC(=O)OCCCCCn1cnc(C(N)=O)c1N
1.0,NC(=O)c1ncn(CC2(CO)CCC2)c1N
1.0,NC(=O)c1ncn(CC=CCO)c1N
1.0,NC(=O)c1ncn(CC2(CO)CCC2)n1
1.0,NC(=O)c1ncn(CC2(COC(=O)c3ccccc3)CCC2)n1
1.0,Nc1nc(Cl)c(N=Nc2ccc(Cl)cc2)c(NCC2(CO)CC2)n1
1.0,Nc1nc(Cl)cc(OCC2(CO)CCC2)n1
1.0,C=CC1CC1(CO)COc1cc(Cl)nc(N)n1
1.0,Nc1nc(Cl)cc(OCC2(CO)CC2)n1
1.0,Nc1nc(Cl)cc(OCC2CC(O)(CO)C2)n1
1.0,c1ccc(C2=NOC3(c4ccccc4)CC(c4cccs4)Sc4ccccc4N23)cc1
1.0,O=[N+]([O-])c1ccc(C2CC3(c4ccccc4)ON=C(c4ccccc4)N3c3ccccc3S2)cc1
1.0,Cc1ccc(C2CC3(c4ccccc4)ON=C(c4ccccc4)N3c3ccccc3S2)cc1
1.0,O=[N+]([O-])c1ccc2c(c1)N=C1OC(c3ccc(C4OC5=Nc6cc([N+](=O)[O-])ccc6NC5=C4O)cc3)C(O)=C1N2
1.0,Clc1ccc2c(N3CCC(CCC4CCN(c5ncnc6cc(Cl)ccc56)CC4)CC3)ncnc2c1
1.0,CC(C)(C)c1cc(C#N)cc(Br)c1OP(=O)(Oc1c(Br)cc(C#N)cc1C(C)(C)C)c1ccccc1
1.0,CCC(C)C1NC(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)C2CCCN2)C(C)OC(=O)C(Cc2ccc(OC)cc2)N(C)C(=O)C2CCCN2C(=O)C(CC(C)C)NC(=O)C(C)C(=O)C(C(C)C)OC(=O)CC1O
1.0,CCC(C)C(C(CC(=O)N1CCCC1C(OC)C(C)C(=O)NC(Cc1ccccc1)c1nccs1)OC)N(C)C(=O)C(NC(=O)C(C(C)C)N(C)C)C(C)C
1.0,CCC(C)C(C(CC(=O)N1CCCC1C(OC)C(C)C(=O)NCCc1ccccc1)OC)N(C)C(=O)C(NC(=O)C(C(C)C)N(C)C)C(C)C
1.0,CCN(CC)c1ccc2cc(C(=O)Nc3ccc4[nH]c(C(=O)N5CC(CCl)c6c5cc(OC(=O)Nc5ccccc5)c5[nH]cc(C)c65)cc4c3)oc2c1
1.0,COc1ccc(C=Cc2cc(OC)c(OC)c(OC)c2)cc1
1.0,COC1C(O)C(C)OC(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)CCC43O)C2)C1O
1.0,COc1c(C)c(OC)c2c(c1O)C1C3Cc4c(OC)c(C)c(OC)c(O)c4C(CNC(=O)c4ccc5ccccc5n4)N3C(C#N)C(C2)N1C
1.0,Nc1cc2c(c3ccccc13)C(CCl)CN2C(=O)c1cc2cc(NC(=O)c3cc4ccccc4o3)ccc2[nH]1
1.0,CNc1cc2c(c3ccccc13)C(CCl)CN2C(=O)c1cc2cc(OC)c(OC)c(OC)c2[nH]1
1.0,Cc1c2oc3c(C)ccc(C(=O)NC4C(=O)NC(C(C)C)C(=O)N5CCCC5C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC4C)c3nc-2c(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c(N)c1=O
1.0,COc1cc2c(cc1OC)C1CN3CCCC3C=C1c1ccc(OC)c(O)c1-2
1.0,CCC(C)C1NC(=O)C(NC(=O)c2c3nc4c(C(=O)NC5C(=O)NC(C(C)C)C(=O)N6CCCC6C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC5C)ccc(C)c4oc-3c(C)c(=O)c2N)C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C2CCCN2C1=O
1.0,COc1cccc(C=CC(=O)N2CC(CCl)c3c2cc(N)c2ccccc32)c1
1.0,CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
1.0,C=C1CC2CCC34CC5OC6C(OC7CCC(CC(=O)OC8C(CC9OC(CCC1O2)CC(C)C9=C)OC1CC2OC9(CC2OC1C8C)CC1OC2(CC(C)C8OC(C(O)CC(O)CO)CC8O2)CC(C)C1O9)OC7C6O3)C5O4
1.0,CCCC(=O)NC1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21
1.0,COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(O)CC2
1.0,COCC(C(O)C(O)C(=O)NCCC(C)c1nc(C=CCC2OC3(CC(O)C2C)OC(C(CC(O)C(C)C(O)C(C)C=C(C)C(C)=CC=CC(C)=CC#N)OC)C(OP(=O)(O)O)C3(C)C)co1)N(C)C
1.0,CC1C2CC=C3C4CCC5Cc6nc7c(nc6CC5(C)C4(O)CC(=O)C32COC12OC(C)(C)CC2O)CC1CCC2C3=CC4OC5(OC(C)(CO)CC5O)C(C)C4(O)C3(C)C(O)CC2C1(C)C7
1.0,COC(=O)C12OCC34C(CC5C(C)=CC(=O)C(O)C5(C)C3C(O)C1O)OC(=O)C(OC(=O)CC(C)C)C24
1.0,CC(=O)c1cccc(NC2C(N)C(NC(=O)N(C)C)(C(C)O)C(C)(O)C2(O)COC(=O)c2c(C)cccc2O)c1
1.0,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccc(O)cc1c2CC[Si](C)(C)C
1.0,CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC
1.0,Cc1c2oc3c(C)ccc(C(=O)NC4C(=O)NC(Cc5ccccc5)C(=O)N5CCCC5C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC4C)c3nc-2c(C(=O)NC2C(=O)NC(Cc3ccccc3)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c(N)c1=O
1.0,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccc(F)cc3)C(C)=C1C2(C)C
1.0,C=C1CC2CCC34CC5OC6C(OC7CCC(CC(=O)OC8C(CC9OC(CCC1O2)CC(C)C9=C)OC1CC2OC9(CC2OC1C8C)CC1OC2(CC(C)C8OC(CC(=O)CCO)C(O)CC8O2)CC(C)C1O9)OC7C6O3)C5O4
1.0,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccc(Cl)cc3)C(C)=C1C2(C)C
1.0,COc1cc(C=Cc2ccc(Br)cc2)cc(OC)c1OC
1.0,Cc1c[nH]c2c1C13CC1CN(C(=O)c1cc4cc(NC(=O)c5cc6ccccc6o5)ccc4[nH]1)C3=CC2=O
1.0,C=C1CC2CCC34CC5OC6C(OC7CCC(CC(=O)OC8C(CC9OC(CCC1O2)CC(C)C9=C)OC1CC2OC9(CC2OC1C8C)CC1OC2(CC(C)C8OC%10CC(C(O)CO)OC%10CC8O2)CC(C)C1O9)OC7C6O3)C5O4
1.0,CC1=CC2OC3CC4OC(=O)C=CC=CC(C(C)O)OCCC(C)C(O)C(=O)OCC2(CC1)C4(C)C31CO1
1.0,COc1c(O)c2c(c3cc(C(=O)N4CCc5c4c(O)c(OC)c4[nH]c(C(=O)N6CC7CC78C6=CC(=O)c6[nH]cc(C)c68)cc54)[nH]c13)CCN2C(N)=O
1.0,CCC(C)C1NC(=O)C(NC(=O)c2c3nc4c(C(=O)NC5C(=O)NC(C(C)CC)C(=O)N6CCCC6C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC5C)ccc(C)c4oc-3c(C)c(=O)c2N)C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C2CCCN2C1=O
1.0,COC12OC3CC4(C)C(=CC3OC(OC(C)C1O)C2O)CCC1C4CCC2(C)C(c3ccc(=O)oc3)CCC12O
1.0,CCC(C=CC1CC=CC(=O)O1)=CC(C)CC=CC(C)=CC(C)C(=O)C(C)C(O)C(C)CC
1.0,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccco3)c3ccccc3)C(C)=C1C2(C)C
1.0,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc4c(cc3nc2-1)OCO4
1.0,CC1C(O)C2(OCC34C(=O)CC5(O)C(CCC6Cc7nc8c(nc7CC65C)CC5CCC6C7=CC9OC%10(OC(C)(CO)CC%10O)C(C)C9(O)C7(C)C(O)CC6C5(C)C8)C3=CCC4C2C)OC1(C)C
1.0,COc1cc2c3c(c4ccc(O)cc4c2cc1OC)C(O)C1CCCN1C3
1.0,CC(C)CCCCCCCCCCCCC(=O)NCC(=O)NC1C(O)C(O)C(Nc2[nH]cnc3ncnc2-3)OC1C(O)CO
1.0,Cc1ccc(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c2c1Oc1c(c(C(=O)NC3C(=O)NC(C(C)C)C(=O)N4CCCC4C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC3C)c3nc(-c4ccccc4)c(=O)oc3c1C)N2
1.0,Cc1c(CNc2ccc(C(=O)NC(CCCNC(=O)c3ccccc3C(=O)O)C(=O)O)cc2)cnc2nc(N)nc(N)c12
1.0,C=C1CC2C=Nc3cc(OCCCOc4cc5c(cc4OC)C(=O)N4CC(=C)CC4C=N5)c(OC)cc3C(=O)N2C1
1.0,O=c1cc(-c2ccccc2F)[nH]c2ccc(N3CCCC3)cc12
1.0,O=C(NC(Cc1ccccc1)B(O)O)C(Cc1cccc2ccccc12)NC(=O)N1CCOCC1
1.0,O=[N+]([O-])c1cccc2nc3ccccc3c(NCCNCCO)c12
1.0,CC(C)NCCCNc1c2ccccc2nc2cccc([N+](=O)[O-])c12
1.0,COc1ccc(CC2NC(=O)C(NC(=O)c3c4nc5c(C(=O)NC6C(=O)NC(Cc7ccc(OC)cc7)C(=O)N7CCCC7C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC6C)ccc(C)c5oc-4c(C)c(=O)c3N)C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C3CCCN3C2=O)cc1
1.0,CC(=O)NC1C(OCc2ccccc2)OC(CO)C(O)C1OC(C)C(=O)NC(C)C(=O)NC(CCC(=O)OCCNc1c2ccccc2nc2cccc([N+](=O)[O-])c12)C(N)=O
1.0,CC1=CC2OC3CC4OC(=O)C=CC=CC56OCCC7(OC7C(=O)OCC2(CC1)C4(C)C31CO1)C5OC(O)C6O
1.0,COC1=C(N)C(=O)c2nc(-c3nc(C(=O)O)c(C)c(-c4ccc(OC)c(OC)c4O)c3N)ccc2C1=O
1.0,COc1ccc2c3c(c4cc(OC)c(OC)cc4c2c1)CC1CCCCN1C3
1.0,Cc1c2oc3c(C)ccc(C(=O)NC4C(=O)NC(C(C)C)C(=O)N5CCCC5C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC4C)c3nc-2c(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c(N)c1=O
1.0,CC(=O)Nc1cc(C=CC(=O)N2CC(CCl)c3c2cc(N)c2ccccc32)n(C)n1
1.0,CCCCCCCCCCC(O)C1CCC(C2CCC(C(O)CCCCCCCCCCC3CC(CC(C)=O)C(=O)O3)O2)O1
1.0,COc1cc2cc(C(=O)N3CC(CCl)c4ccc(O)cc43)[nH]c2c(OC)c1OC
1.0,Cc1cnc2[nH]c(-c3cccc4ccccc34)cc(=O)c2c1
1.0,CCC(C)C1NC(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)C2C=CCN2C(=O)C(C)O)C(C)OC(=O)C(Cc2ccc(OC)cc2)N(C)C(=O)C2CCCN2C(=O)C(CC(C)C)NC(=O)C(C)C(=O)C(C(C)C)OC(=O)CC1O
1.0,CC1CC(O)C2(O)OC3CC4(C=O)C(CCC5C4CCC4(C)C(C6=CC(=O)OC6)CCC54O)CC3OC2O1
1.0,CC1=C2C(=CC(C)(CO)C2O)C(=O)C(C)(O)C12CC2
1.0,CC(O)C1C=CC=CC(=O)OC2CC3OC4C5OC5(C)CCC4(COC(=O)C4OC4(C)C(O)CO1)C2(C)C31CO1
1.0,CC1OC(=O)C(C(C)C)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC(=O)C(C)OC(=O)C(C(C)C)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC(=O)C(C)OC(=O)C(C(C)C)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC1=O
1.0,COc1c(C)c(OC)c2c(c1O)C1C3Cc4c(OC)c(C)c(OC)c(O)c4C(CNC(=O)c4cnc5ccccc5n4)N3C(C#N)C(C2)N1C
1.0,CCC1C=CC=CCC(C)C(O)C(C)(O)C(=O)C(C)C(O)C(C)C(=O)C(C)C(O)C(C)C=CC(=O)OC2C(C)C(CC1)OC1(OC(CC(C)O)C(C)CC1=O)C2C
1.0,CC(=O)OCC(OC(C)=O)C1CC2OC3C(C)CC4(CC(C)C5OC6(CC7OC8C(CC7O6)OC6CC7OC(CCC9OC(CCC%10%11CC%12OC%13C(OC%14CCC(CC(=O)OC6C8C)OC%14C%13O%10)C%12O%11)CC9=O)CC(C)C7=O)CC5O4)OC3CC2O1
1.0,CCCC(=O)Nc1cc(C=CC(=O)N2CC3CC34C2=CC(=O)c2[nH]cc(C)c24)n(C)c1
1.0,CCCC(C)C1NC(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)C2CCCN2C(=O)C(C)O)C(C)OC(=O)C(CC(C)C)N(C)C(=O)C2CCCN2C(=O)C(CC(C)C)NC(=O)C(C)C(=O)C(C(C)C)OC(=O)CC1O
1.0,CNC(=O)CC1NC(=O)c2csc(n2)-c2ccc(-c3nc(C4=NC(C(=O)N5CCCC5C(N)=O)CO4)cs3)nc2-c2csc(n2)-c2csc(n2)C(C(C)C)NC(=O)CNC(=O)c2csc(n2)C(C(C)C)NC(=O)c2nc1sc2C
1.0,CCCCCC(=O)NC(c1ccco1)C(O)C(=O)OC1CC2(O)C(OC(=O)c3ccccc3)C3C4(OC(C)=O)COC4CC(O)C3(C)C(=O)C(OC(C)=O)C(=C1C)C2(C)C
1.0,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)CC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C
1.0,COc1ccc(C(NC(=O)c2ccccc2)C(O)C(=O)OC2CC3(O)C(OC(=O)c4ccccc4)C4C5(OC(C)=O)COC5CC(O)C4(C)C(=O)C(OC(C)=O)C(=C2C)C3(C)C)cc1
1.0,COc1cccc(-c2cc(=O)c3cc(N4CCCC4)ccc3[nH]2)c1
1.0,COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(NCc1ccc(C#N)cc1)CC2
1.0,COC1=CC(C)=CC(C)C(O)C(C)CC(C)=CC=CC(OC)C(C(C)C(O)C(C)C2(O)CC(O)C(C)C(C(C)C)O2)OC1=O
1.0,CC12CCC3C(CCC4=CC(O)CCC43C=O)C1(O)CCC2c1ccc(=O)oc1
1.0,CC1=CC2OC3CC4OC(=O)C=CC=CC(C(C)O)OCC(O)C(C)CC(=O)OCC2(CC1O)C4(C)C31CO1
1.0,Cc1cc2c(c3oc(C4(C)OC4C4OC4C)cc(=O)c13)C(=O)c1c(O)c(C3CC(C)(N(C)C)C(O)C(C)O3)cc(C3CC(N(C)C)C(O)C(C)O3)c1C2=O
1.0,CC(=O)OC1CC2(O)C(CCC3(C)C(c4ccc(=O)oc4)CCC32O)C2(C)CCC(O)C=C12
1.0,CC1OC(OC2CCC3(C=O)C4CCC5(C)C(c6ccc(=O)oc6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O
1.0,OCCN1CN(CCO)CN(c2nc(N3CN(CCO)CN(CCO)C3)nc(N3CN(CCO)CN(CCO)C3)n2)C1
1.0,OCCN(CO)CN(CN(CO)CCO)c1nc(N(CN(CO)CCO)CN(CO)CCO)nc(N(CN(CO)CCO)CN(CO)CCO)n1
1.0,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)CC(C)C)c3ccccc3)C(C)=C1C2(C)C
1.0,COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(NCc1ccc([N+](=O)[O-])cc1)CC2
1.0,COC1=CC(=O)N(C(=O)C(OC(=O)C2CCCN2C(=O)C2CCCN2C(=O)C(C(C)C)N(C)C(=O)C(NC(=O)C(C(C)C)N(C)C)C(C)C)C(C)C)C1Cc1ccccc1
1.0,COc1ccc(C=Cc2cc(OC)c(OC)c(OC)c2)cc1O
1.0,CC1C2CC=C3C4CCC5Cc6nc7c(nc6CC5(C)C4CC(=O)C32COC1(O)C(O)CC(C)(C)O)CC1CCC2C3=CC4OC5(OC(C)(CO)CC5O)C(C)C4(O)C3(C)C(O)CC2C1(C)C7
1.0,CC(C)C12OC1C1OC13C1(C)CCC4=C(COC4=O)C1CC1OC13C2O
1.0,CC(=O)OCC12CC(OC(=O)CC(C)C)C(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C12CO2
1.0,CC1=CC2OC3CC4OC(=O)C=CC=CC(=O)OCCC(C)C(O)C(=O)OCC2(CC1O)C4(C)C31CO1
