pIC50,smiles
8.82,Nc1cc(N)c2nc(CNc3ccc(C(=O)NC(CCCNC(=O)c4ccccc4C(=O)O)C(=O)O)cc3)cnc2c1
9.28,Nc1cc(N)c2nc(CCc3ccc(C(=O)NC(CCCNC(=O)c4ccccc4C(=O)O)C(=O)O)cc3)cnc2c1
9.19,Nc1nc(N)c2cc(CNc3ccc(C(=O)NC(CCCNC(=O)c4ccccc4C(=O)O)C(=O)O)cc3)ccc2n1
8.92,CCC(Cc1cnc2cc(N)cc(N)c2n1)c1ccc(C(=O)NC(CCCNC(=O)c2ccccc2C(=O)O)C(=O)O)cc1
9.16,Nc1cc(N)c2cc(CCc3ccc(C(=O)NC(CCCNC(=O)c4ccccc4C(=O)O)C(=O)O)cc3)ccc2c1
4.91,Nc1cc(OCCOCP(=O)(O)O)nc(N)n1
4.95,Nc1nc(OCCOC[PH](=O)O)cc(=O)[nH]1
5.84,CCc1cnc(CSc2cnc(NC(C)=O)s2)o1
7.28,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1
5.24,C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1cccc(Br)c1
4.83,Cc1nc2ccc(CNc3ccc(S(=O)(=O)c4ccccc4)cc3)cc2c(=O)[nH]1
5.57,CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(S(=O)(=O)c2ccccc2)cc1
5.81333333333,C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(S(=O)(=O)c2ccccc2)cc1
5.46,C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(S(=O)(=O)c2ccccc2)c(C(F)(F)F)c1
4.32,C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(S(=O)(=O)N2CCNCC2)cc1
5.47,Cc1nc2ccc(CN(C)c3ccc(Cc4ccccc4)cc3)cc2c(=O)[nH]1
4.98,C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc([N+](=O)[O-])c(C(F)(F)F)c1
5.35,C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(S(=O)(=O)N2CCOCC2)cc1
5.35,C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc([S+]([O-])c2ccccc2)cc1
5.3,C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1cccc(CC)c1
7.455,C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
5.3,C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C#N)cc1
5.56,C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(S(=O)(=O)C(F)(F)F)cc1
5.55,C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C#N)c(C(F)(F)F)c1
7.1,O=Nc1c2cc(Cl)ccc2n2nnc3ccccc3c12
5.16,O=Nc1c2ccccc2n2nnc3ccccc3c12
7.06476190476,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1
5.14,COc1ccc2c(c1)c(N=O)c1c3ccccc3nnn21
5.09,O=Nc1c2cc([N+](=O)[O-])ccc2n2nnc3ccccc3c12
5.3,O=Nc1c2ccccc2n2nnc3ccc(Cl)cc3c12
5.75,O=Nc1c2ccccc2n2nnc3cc(Cl)ccc3c12
6.3,Cc1ccc2nnn3c4ccccc4c(N=O)c3c2c1
6.91,Nc1nc(N)c(CCCNc2ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc2)c(=O)[nH]1
5.43,CNC1=Nc2ccc(N(C)Cc3ccnnc3)c3c(C)ccc1c23
5.4,CN(Cc1ccnnc1)c1ccc2c3c(cccc13)C(N)=N2
5.62,CN(Cc1ccncc1)c1ccc2c3c(cccc13)C(N)=N2
5.05,CNC1=Nc2ccc(N(C)Cc3ccnnc3)c3cccc1c23
5.52,CCc1cc(CN(C)c2ccc3c4c(cccc24)C(N)=N3)ccn1
6.11,Cc1ccc2c3c(ccc(N(C)Cc4ccnnc4)c13)N=C2N
5.23,CN(Cc1ccnc(C(F)(F)F)c1)c1ccc2c3c(cccc13)C(N)=N2
6.36,Cc1ccc2c3c(ccc(N(C)Cc4ccncc4)c13)N=C2N
5.96,CNC1=Nc2ccc(N(C)Cc3ccncc3)c3c(C)ccc1c23
5.64,Cc1cc(CN(C)c2ccc3c4c(cccc24)C(N)=N3)ccn1
5.7,CN(Cc1ccnc(Sc2ccccc2)c1)c1ccc2c3c(cccc13)C(N)=N2
5.29,CNC1=Nc2ccc(N(C)Cc3ccncc3)c3cccc1c23
5.52,CN(Cc1ccnc(CO)c1)c1ccc2c3c(cccc13)C(N)=N2
6.35,Cc1cc(CN(C)c2ccc3c4c(ccc(C)c24)C(N)=N3)ccn1
4.52,Nc1nc(F)nc2c1ncn2C1SC(CO)C(O)C1O
6.24,Nc1nc2c(ncn2C2SC(CO)C(O)C2O)c(=O)[nH]1
9.24,Cc1c(CNc2ccc(C(=O)NC(CCCNC(=O)c3ccccc3C(=O)O)C(=O)O)cc2)cnc2nc(N)nc(N)c12
6.69222222222,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
8.3925,Nc1nc(N)c2nc(CNc3ccc(C(=O)NC(CCCNC(=O)c4ccccc4C(=O)O)C(=O)O)cc3)cnc2n1
5.75,Cc1ccc(C(=O)C=Cc2cc(=O)[nH]c(=O)[nH]2)cc1
4.91,Cc1ccc(C(=O)C=Cc2[nH]c(=O)[nH]c(=O)c2Cl)cc1
5.59,Cc1ccc(C(=O)C=Cc2[nH]c(=O)[nH]c(=O)c2Br)cc1
5.66,COc1ccc(C(=O)C=Cc2cc(=O)[nH]c(=O)[nH]2)cc1
5.85,Cc1ccc(C(=O)C=Cc2[nH]c(=O)[nH]c(=O)c2I)cc1
5.59,CC(C)CC(NC(=O)C1CCCN1)C(=O)NCC(N)=O
4.87333333333,O=c1[nH]cc(F)c(=O)[nH]1
5.46,NC(=O)c1csc(C2OC(CO)C(O)C2O)c1
5.0,NC(=O)c1csc(C2OC(CO)C(O)C2O)n1
5.6675,CC(C)(C)OC(=O)CCC(Nc1ccc(CN(CCCc2c(N)nc(N)[nH]c2=O)c2cc(F)c([N+](=O)[O-])cc2[N+](=O)[O-])cc1)C(=O)OC(C)(C)C
7.19928571429,Nc1nc2c(c(=O)[nH]1)CC(CCc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2
4.325,Nc1nc(N)c(CCNc2cc(F)c(F)cc2[N+](=O)[O-])c(=O)[nH]1
4.25,CC(C)(C)OC(=O)CCC(Nc1ccc(CN(CCc2c(N)nc(N)[nH]c2=O)c2cc(F)ccc2[N+](=O)[O-])cc1)C(=O)OC(C)(C)C
5.25,Nc1nc(N)c(CCN(Cc2ccc(NC(CCC(=O)O)C(=O)O)cc2)c2cc(F)ccc2[N+](=O)[O-])c(=O)[nH]1
5.97,Nc1nc(N)c(CCCNc2cc(F)c([N+](=O)[O-])cc2[N+](=O)[O-])c(=O)[nH]1
5.0,CC(C)(C)OC(=O)CCC(Nc1ccc(CN(CCc2c(N)nc(N)[nH]c2=O)c2cc(F)c([N+](=O)[O-])cc2[N+](=O)[O-])cc1)C(=O)OC(C)(C)C
4.3375,COC(=O)c1ccc(CN(CCCc2c(N)nc(N)[nH]c2=O)c2ccc([N+](=O)[O-])c(F)c2F)cc1
4.2375,COC(=O)c1ccc(CN(CCCc2c(N)nc(N)[nH]c2=O)c2cc(F)c(F)cc2[N+](=O)[O-])cc1
4.615,CC(C)(C)OC(=O)CCC(Nc1ccc(CN(CCCc2c(N)nc(N)[nH]c2=O)c2ccc([N+](=O)[O-])c(F)c2F)cc1)C(=O)OC(C)(C)C
4.04,COC(=O)c1ccc(CN(CCc2c(N)nc(N)[nH]c2=O)c2cc(F)cc(F)c2[N+](=O)[O-])cc1
5.1625,CC(C)(C)OC(=O)CCC(Nc1ccc(CN(CCc2c(N)nc(N)[nH]c2=O)c2ccc([N+](=O)[O-])c(F)c2[N+](=O)[O-])cc1)C(=O)OC(C)(C)C
4.3275,Nc1nc(N)c(CCN(Cc2ccc(NC(CCC(=O)O)C(=O)O)cc2)c2ccc([N+](=O)[O-])c(F)c2[N+](=O)[O-])c(=O)[nH]1
5.46,COC(=O)c1ccc(CN(CCCc2c(N)nc(N)[nH]c2=O)c2cc(F)c([N+](=O)[O-])cc2[N+](=O)[O-])cc1
4.15,COC(=O)c1ccc(CN(CCc2c(N)nc(N)[nH]c2=O)c2cc(F)ccc2[N+](=O)[O-])cc1
4.385,Nc1nc(N)c(CCCN(Cc2ccc(NC(CCC(=O)O)C(=O)O)cc2)c2ccc([N+](=O)[O-])c(F)c2[N+](=O)[O-])c(=O)[nH]1
4.1375,Nc1nc(N)c(CCCNc2ccc([N+](=O)[O-])c(F)c2F)c(=O)[nH]1
4.3125,Nc1nc(N)c(CCN(Cc2ccc(NC(CCC(=O)O)C(=O)O)cc2)c2cc(F)c([N+](=O)[O-])cc2[N+](=O)[O-])c(=O)[nH]1
4.355,Nc1nc(N)c(CCCN(Cc2ccc(NC(CCC(=O)O)C(=O)O)cc2)c2cc(F)c([N+](=O)[O-])cc2[N+](=O)[O-])c(=O)[nH]1
4.015,Nc1nc(N)c(CCCNc2cc(F)cc(F)c2[N+](=O)[O-])c(=O)[nH]1
5.4425,CC(C)(C)OC(=O)CCC(Nc1ccc(CN(CCCc2c(N)nc(N)[nH]c2=O)c2ccc([N+](=O)[O-])c(F)c2[N+](=O)[O-])cc1)C(=O)OC(C)(C)C
4.33,CC(C)(C)OC(=O)CCC(Nc1ccc(CN(CCc2c(N)nc(N)[nH]c2=O)c2cc(F)cc(F)c2[N+](=O)[O-])cc1)C(=O)OC(C)(C)C
4.62,CC(C)(C)OC(=O)CCC(Nc1ccc(CN(CCc2c(N)nc(N)[nH]c2=O)c2cc(F)c(F)cc2[N+](=O)[O-])cc1)C(=O)OC(C)(C)C
5.5175,CC(C)(C)OC(=O)CCC(Nc1ccc(CN(CCCc2c(N)nc(N)[nH]c2=O)c2cc(F)c(F)cc2[N+](=O)[O-])cc1)C(=O)OC(C)(C)C
4.2875,COC(=O)c1ccc(CN(CCc2c(N)nc(N)[nH]c2=O)c2ccc([N+](=O)[O-])c(F)c2F)cc1
4.9325,COC(=O)c1ccc(CN(CCc2c(N)nc(N)[nH]c2=O)c2cc(F)c(F)cc2[N+](=O)[O-])cc1
4.375,COC(=O)c1ccc(CN(CCCc2c(N)nc(N)[nH]c2=O)c2cc(F)ccc2[N+](=O)[O-])cc1
5.075,CC(C)(C)OC(=O)CCC(Nc1ccc(CN(CCCc2c(N)nc(N)[nH]c2=O)c2cc(F)ccc2[N+](=O)[O-])cc1)C(=O)OC(C)(C)C
5.0975,CC(C)(C)OC(=O)CCC(Nc1ccc(CN(CCCc2c(N)nc(N)[nH]c2=O)c2cc(F)cc(F)c2[N+](=O)[O-])cc1)C(=O)OC(C)(C)C
5.835,COC(=O)c1ccc(CN(CCc2c(N)nc(N)[nH]c2=O)c2cc(F)c([N+](=O)[O-])cc2[N+](=O)[O-])cc1
4.355,CC(C)(C)OC(=O)CCC(Nc1ccc(CN(CCc2c(N)nc(N)[nH]c2=O)c2ccc([N+](=O)[O-])c(F)c2F)cc1)C(=O)OC(C)(C)C
4.01,Nc1nc(N)c(CCCNc2cc(F)c(F)cc2[N+](=O)[O-])c(=O)[nH]1
4.72,NC(=O)c1ncn(C2OC(CO)C(O)C2O)n1
5.82,COC(=O)c1nn(C2OC(CO)C(O)C2O)cc1I
5.59,Cc1noc(-c2nn(C3OC(CO)C(O)C3O)cc2I)n1
4.72,CCCCOC(=O)c1nn(C2OC(CO)C(O)C2O)cc1I
5.62,NC(=O)c1nn(C2OC(CO)C(O)C2O)cc1I
5.75,COc1ccc(S(=O)(=O)c2ccc(CN3CCCc4cc5c(cc43)nc(C)n5C)cc2)cc1
5.48,CNc1nc2cc3c(cc2[nH]1)N(Cc1ccc(S(=O)(=O)c2ccccc2)cc1)CCC3
5.4,Nc1nc2cc3c(cc2[nH]1)N(Cc1ccc(S(=O)(=O)N2CCOCC2)cc1)CCC3
5.66,Nc1nc2cc3c(cc2[nH]1)N(Cc1ccc(S(=O)(=O)N2CCNCC2)cc1)CCC3
5.29,COc1ccc(S(=O)(=O)c2ccc(CN3CCCc4cc5[nH]c(N)nc5cc43)cc2)cc1
4.96,O=S(=O)(c1ccc(CN2CCCc3cc4[nH]cnc4cc32)cc1)N1CCNCC1
5.41,Nc1nc2cc3c(cc2[nH]1)N(Cc1ccc(S(=O)(=O)c2ccccc2)cc1)CCC3
5.1,COc1ccc(S(=O)(=O)c2ccc(CN3CCCc4cc5[nH]c(C)nc5cc43)cc2)cc1
4.66,Nc1nc2cc3c(cc2[nH]1)N(Cc1ccc(S(=O)(=O)c2ccc(O)cc2)cc1)CCC3
4.4,Nc1nc2cc3c(cc2[nH]1)N(Cc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CCC3
6.05,COc1ccc(S(=O)(=O)c2ccc(CN3CCCc4cc5c(cc43)nc(N)n5C)cc2)cc1
5.76,Nc1ccn(C2OC(CO)C(O)C2NO)c(=O)n1
5.47666666667,Nc1ccn(C2CCC(CO)O2)c(=O)n1
4.66,O=c1[nH]c(=O)n(C2OC(CCl)C(O)C2O)cc1F
5.51,O=c1[nH]c(=O)n(C2OC(CBr)C(O)C2O)cc1F
7.3,O=c1[nH]c(=O)n(C2OC(CO)C(O)C2O)cc1F
6.18,CS(=O)(=O)OCC1OC(n2cc(F)c(=O)[nH]c2=O)C(O)C1O
4.57,O=c1[nH]c(=O)n(C2OC(CI)C(O)C2O)cc1F
4.66,CC1OC(n2cc(F)c(=O)[nH]c2=O)C(O)C1O
5.75,Cc1ccc(S(=O)(=O)OCC2OC(n3cc(F)c(=O)[nH]c3=O)C(O)C2O)cc1
4.31,NCC1OC(n2cc(F)c(=O)[nH]c2=O)C(O)C1O
7.3,CCOC(=O)C1=CC2C(=O)c3ncccc3C(=O)C2C(c2ccc([N+](=O)[O-])cc2)=N1
6.16,CCOC(=O)C1=CC2C(=O)c3cccnc3C(=O)C2C(c2ccccc2)=N1
5.92,CCOC(=O)C1=CC2C(=O)c3ncccc3C(=O)C2C(c2ccc(N(C)C)cc2)=N1
5.89,CCOC(=O)C1=CC2C(=O)c3cccnc3C(=O)C2C(c2ccc(Br)cc2)=N1
7.16,CCOC(=O)C1(N)CSC2=C1C(=O)c1ncccc1C2=O
5.64,CCOC(=O)C1=CC2C(=O)c3cccnc3C(=O)C2C(c2ccc(N(C)C)cc2)=N1
6.7,CCOC(=O)C1=CC2C(=O)c3ncccc3C(=O)C2C(c2ccc(Br)cc2)=N1
6.0,CCOC(=O)C1=CC2C(=O)c3cccnc3C(=O)C2C(c2ccc(C)cc2)=N1
6.82,CCOC(=O)C1=CC2C(=O)c3ncccc3C(=O)C2C(c2ccc(Cl)cc2)=N1
7.7,CCOC(=O)C1=CC2C(=O)c3ncccc3C(=O)C2C(c2ccc(C)cc2)=N1
8.0,O=c1cc2oc3ccccc3nc-2c2cccnc12
7.0,CCOC(=O)C1=CC2C(=O)c3ncccc3C(=O)C2C(c2ccc(OC)cc2)=N1
6.1,CCOC(=O)C1=CC2C(=O)c3cccnc3C(=O)C2C(c2ccc(Cl)cc2)=N1
5.82,CCOC(=O)C1=CC2C(=O)c3cccnc3C(=O)C2C(c2ccc(OC)cc2)=N1
6.64,CCOC(=O)C1=CC2C(=O)c3cccnc3C(=O)C2C(c2ccc([N+](=O)[O-])cc2)=N1
5.7,CCOC(=O)C1(N)CSC2=C1C(=O)c1cccnc1C2=O
6.7,CCOC(=O)C1=CC2C(=O)c3ncccc3C(=O)C2C(c2ccccc2)=N1
6.48,CC(=NN=C(S)N1CC2CCC(CC2)C1)c1cccnn1
6.11,CCC(=NN=C(S)N1CC2CCC(CC2)C1)c1cccnn1
7.96,CC(=NN=C(S)N1CC2CCC(CC2)C1)c1cnccn1
7.96,CC(=NN=C(S)N1CC2CCC(CC2)C1)c1cnc(C)cn1
6.22,CC(=NN=C(S)N1CC2CCC(CC2)C1)c1ccc(C)nn1
7.75,CC(=NN=C(S)N1CC2CCC(CC2)C1)c1cc(C)ncn1
7.7,CC(=NN=C(S)N1CC2CCC(CC2)C1)c1ccncn1
8.3,CC(=NN=C(S)N1CC2CCC(CC2)C1)c1nccnc1C
6.22,Nc1ccn(C2OC(CO)C(O)C2O[N+](=O)[O-])c(=O)n1
7.51625,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1
5.37,CCOC(=O)c1cccnc1S(=O)(=O)NC(=O)Nc1ccc(Cl)cc1
5.82,CCOC(=O)c1cc([N+](=O)[O-])cnc1SNC(=O)Nc1ncccn1
4.82,CCOC(=O)c1cccnc1SNC(=O)Nc1ncccn1
5.46,CCOC(=O)c1cccnc1S(=O)(=O)NC(=O)Nc1ncccn1
4.5,O=C(Nc1ccc(Cl)cc1)NS(=O)(=O)c1ccc2c(c1)CCC2
6.16,CCOC(=O)c1cccnc1SNC(=O)Nc1nc(OC)cc(OC)n1
5.46,COC(C(=O)C(O)C(C)O)C1Cc2cc3cc(OC4CC(OC5CC(O)C(OC)C(C)O5)C(OC(C)=O)C(C)O4)c(C)c(O)c3c(O)c2C(=O)C1OC1CC(OC2CC(OC3CC(C)(O)C(OC(C)=O)C(C)O3)C(O)C(C)O2)C(O)C(C)O1
6.3,CSC1SCC2C(=O)N(C)C(C(C)C)C(=O)OCC(NC(=O)c3cnc4ccccc4n3)C(=O)NC(C)C(=O)N(C)C1C(=O)N(C)C(C(C)C)C(=O)OCC(NC(=O)c1cnc3ccccc3n1)C(=O)NC(C)C(=O)N2C
4.2,CN(C)CCNC(=O)c1cccc2c(NCCN3CCN(CCNc4c5ccccc5nc5c(C(=O)NCCN(C)C)cccc45)CC3)c3ccccc3nc12
4.23,COC(=O)C1c2cc3c(c(O)c2C(OC2OC(C)C(OC)C(C)(OC)C2OC)CC1(C)O)C(=O)c1c(O)cc2c(c1C3=O)OC1OC2(C)C(O)C(N(C)C)C1O
4.3,CN(C)CCNC(=O)c1cccc2c(NCCCNCCCNc3c4ccccc4nc4c(C(=O)NCCN(C)C)cccc34)c3ccccc3nc12
8.224,Cc1c2oc3c(C)ccc(C(=O)NC4C(=O)NC(C(C)C)C(=O)N5CCCC5C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC4C)c3nc-2c(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c(N)c1=O
6.44,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
7.70571428571,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1
4.13,O=C(c1cccc2c(NCCCCNCCCNc3c4ccccc4nc4c(C(=O)N5CCOCC5)cccc34)c3ccccc3nc12)N1CCOCC1
4.46,CN(C)CCNC(=O)c1cccc2c(NCCCCCCCCNc3c4ccccc4nc4c(C(=O)NCCN(C)C)cccc34)c3ccccc3nc12
4.33,O=C(c1cccc2c(NCCCNCCCNc3c4ccccc4nc4c(C(=O)N5CCOCC5)cccc34)c3ccccc3nc12)N1CCOCC1
4.06,CN(C)CCNC(=O)c1cccc2c(NCCCCCCNc3c4ccccc4nc4c(C(=O)NCCN(C)C)cccc34)c3ccccc3nc12
7.23,Nc1nc(N)c(CCCCc2ccc(C(=O)NC(CCC(=O)O)C(=O)O)s2)c(=O)[nH]1
6.1925,Nc1nc(N)c(CCCCc2ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc2)c(=O)[nH]1
6.85,Nc1nc(N)c(CCCCc2csc(C(=O)NC(CCC(=O)O)C(=O)O)c2)c(=O)[nH]1
4.4,Nc1nc(O)c(CCCCc2ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc2)c(=O)[nH]1
7.38,NC1=NC(N)=C(CCCCc2ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc2)C(N)N1
5.63,CC1=C(CCCCc2ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc2)C(O)NC(N)=N1
